fice,fice_combined,year,toi_code,ffrdctype,inst_name_long,inst_city,inst_state,inst_zip,questionnaire_no,question,row,column,data,status
400885,000000,2004,3,3,Pacific Northwest National Laboratories,Richland,WA,99352,01,Source,All other sources,,5744,
400885,000000,2004,3,3,Pacific Northwest National Laboratories,Richland,WA,99352,01,Source,Federal government,,668609,
400885,000000,2004,3,3,Pacific Northwest National Laboratories,Richland,WA,99352,01,Source,Industry,,12795,
400885,000000,2004,3,3,Pacific Northwest National Laboratories,Richland,WA,99352,01,Source,State and local government,,5222,
400885,000000,2004,3,3,Pacific Northwest National Laboratories,Richland,WA,99352,01,Source,Total,,692370,
401119,000000,2004,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,All other sources,,94,
401119,000000,2004,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,Federal government,,11148,
401119,000000,2004,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,"Institution funds, total",,1043,
401119,000000,2004,3,1,National Astronomy and Ionosphere Center,Ithaca,NY,14853,01,Source,Total,,12285,
401435,000000,2004,3,1,Lawrence Livermore Lab,Livermore,CA,94550,01,Source,All other sources,,17471,
401435,000000,2004,3,1,Lawrence Livermore Lab,Livermore,CA,94550,01,Source,Federal government,,1405250,
401435,000000,2004,3,1,Lawrence Livermore Lab,Livermore,CA,94550,01,Source,Industry,,1343,
401435,000000,2004,3,1,Lawrence Livermore Lab,Livermore,CA,94550,01,Source,State and local government,,1776,
401435,000000,2004,3,1,Lawrence Livermore Lab,Livermore,CA,94550,01,Source,Total,,1425840,
900010,000000,2004,3,1,MIT Lincoln Laboratory,Lexington,MA,02173,01,Source,Federal government,,589022,
900010,000000,2004,3,1,MIT Lincoln Laboratory,Lexington,MA,02173,01,Source,Industry,,3700,
900010,000000,2004,3,1,MIT Lincoln Laboratory,Lexington,MA,02173,01,Source,State and local government,,2100,
900010,000000,2004,3,1,MIT Lincoln Laboratory,Lexington,MA,02173,01,Source,Total,,594822,
900011,000000,2004,3,1,Ames Laboratory,Ames,IA,50011,01,Source,Federal government,,27227,
900011,000000,2004,3,1,Ames Laboratory,Ames,IA,50011,01,Source,Total,,27227,
900012,000000,2004,3,1,Argonne Natl Laboratory,Argonne,IL,60439,01,Source,All other sources,,43626,
900012,000000,2004,3,1,Argonne Natl Laboratory,Argonne,IL,60439,01,Source,Federal government,,473824,
900012,000000,2004,3,1,Argonne Natl Laboratory,Argonne,IL,60439,01,Source,State and local government,,3431,
900012,000000,2004,3,1,Argonne Natl Laboratory,Argonne,IL,60439,01,Source,Total,,520881,
900013,000000,2004,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,01,Source,All other sources,,10102,
900013,000000,2004,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,01,Source,Federal government,,432180,
900013,000000,2004,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,01,Source,Industry,,7872,
900013,000000,2004,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,01,Source,State and local government,,188,
900013,000000,2004,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,01,Source,Total,,450342,
900016,000000,2004,3,1,Lawrence Berkeley Lab,Berkeley,CA,94701,01,Source,All other sources,,45806,
900016,000000,2004,3,1,Lawrence Berkeley Lab,Berkeley,CA,94701,01,Source,Federal government,,421712,
900016,000000,2004,3,1,Lawrence Berkeley Lab,Berkeley,CA,94701,01,Source,Industry,,8796,
900016,000000,2004,3,1,Lawrence Berkeley Lab,Berkeley,CA,94701,01,Source,State and local government,,5845,
900016,000000,2004,3,1,Lawrence Berkeley Lab,Berkeley,CA,94701,01,Source,Total,,482159,
900017,000000,2004,3,1,Stanford Linear Accel Ctr,Menlo Park,CA,94025,01,Source,Federal government,,206402,
900017,000000,2004,3,1,Stanford Linear Accel Ctr,Menlo Park,CA,94025,01,Source,Total,,206402,
900018,000000,2004,3,1,Los Alamos National Lab,Los Alamos,NM,87545,01,Source,Federal government,,1973000,
900018,000000,2004,3,1,Los Alamos National Lab,Los Alamos,NM,87545,01,Source,Industry,,13235,
900018,000000,2004,3,1,Los Alamos National Lab,Los Alamos,NM,87545,01,Source,Total,,1986235,
900020,000000,2004,3,1,Plasma Physics Lab,Princeton,NJ,08543,01,Source,All other sources,,486,
900020,000000,2004,3,1,Plasma Physics Lab,Princeton,NJ,08543,01,Source,Federal government,,74637,
900020,000000,2004,3,1,Plasma Physics Lab,Princeton,NJ,08543,01,Source,Industry,,132,
900020,000000,2004,3,1,Plasma Physics Lab,Princeton,NJ,08543,01,Source,Total,,75255,
900021,000000,2004,3,3,Oak Ridge National Laboratory,Oak Ridge,TN,37831-6255,01,Source,All other sources,,3486,
900021,000000,2004,3,3,Oak Ridge National Laboratory,Oak Ridge,TN,37831-6255,01,Source,Federal government,,750209,
900021,000000,2004,3,3,Oak Ridge National Laboratory,Oak Ridge,TN,37831-6255,01,Source,Industry,,14161,
900021,000000,2004,3,3,Oak Ridge National Laboratory,Oak Ridge,TN,37831-6255,01,Source,"Institution funds, total",,7175,
