"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"US000","0","10","10","0","1976","A","","U.S. TOTAL","Total Covered","Total, all industries","National, Total Covered","All establishment sizes",4056000,70425240,756507118290,298261616940,7678985110,206,10741,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",108260,2.7,2623840,3.9,76493791170,11.2,39385908580,15.2,2599354500,51.2,14,7.3,712,7.1
"01000","0","10","50","0","1976","A","","Alabama -- Statewide","Total Covered","Total, all industries","State, Total Covered","All establishment sizes",56478,1017616,9886674371,4405000875,105109621,186,9715,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1323,2.4,47469,4.9,1196576243,13.8,678540383,18.2,63706300,153.9,14,8.1,758,8.5
"01001","0","10","70","0","1976","A","","Autauga County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",357,4487,39071735,0,0,167,8707,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",4,1.1,83,1.9,6943549,21.6,0,0.0,0,0.0,27,19.3,1412,19.4
"01003","0","10","70","0","1976","A","N","Baldwin County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","0","10","70","0","1976","A","N","Barbour County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","0","10","70","0","1976","A","","Bibb County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",195,2100,14702030,0,0,134,7000,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",4,2.1,122,6.2,2548850,21.0,0,0.0,0,0.0,16,13.6,856,13.9
"01009","0","10","70","0","1976","A","","Blount County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",430,3611,28279334,0,0,150,7831,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",22,5.4,326,9.9,4886184,20.9,0,0.0,0,0.0,14,10.3,710,10.0
"01011","0","10","70","0","1976","A","","Bullock County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",158,2082,13821825,0,0,127,6638,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",2,1.3,264,14.5,2937219,27.0,0,0.0,0,0.0,12,10.4,651,10.9
"01013","0","10","70","0","1976","A","","Butler County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",396,4730,33344562,0,0,135,7049,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-8,-2.0,225,5.0,4358621,15.0,0,0.0,0,0.0,12,9.8,615,9.6
"01015","0","10","70","0","1976","A","N","Calhoun County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
