"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","23","54","0","2001","A","","Alabama -- Statewide","Private","Construction","State, NAICS Sector -- by ownership sector","All establishment sizes",11329,105016,3239529481,1161592370,25857906,593,30848,"",1.04,1.08,1.05,1.10,1.12,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","23","74","0","2001","A","","Autauga County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",121,1085,35059646,14174792,302322,622,32325,"",1.52,1.85,2.21,2.20,2.13,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","23","74","0","2001","A","","Baldwin County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",563,3316,87272933,34588093,415676,506,26322,"",1.40,1.30,1.37,1.22,0.83,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","23","74","0","2001","A","","Barbour County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",40,154,3079300,1374133,20455,386,20050,"",0.62,0.25,0.21,0.20,0.15,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","23","74","0","2001","A","","Bibb County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",38,161,3754869,1581237,12980,447,23262,"",1.12,0.85,0.81,0.92,0.30,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","23","74","0","2001","A","","Blount County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",134,556,14409308,6014885,93998,499,25935,"",1.75,1.17,1.24,1.20,0.80,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","23","74","0","2001","A","N","Bullock County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","23","74","0","2001","A","","Butler County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",52,339,9143016,3714064,90840,519,27010,"",1.01,0.98,1.17,1.08,1.02,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","23","74","0","2001","A","","Calhoun County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",218,1544,38961464,15610345,280855,485,25227,"",0.88,0.64,0.58,0.66,0.55,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","23","74","0","2001","A","","Chambers County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",69,570,14539515,5883914,73126,491,25508,"",1.08,0.90,0.83,0.83,0.53,0.93,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","23","74","0","2001","A","","Cherokee County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",36,106,2656011,1072524,24596,484,25156,"",0.88,0.43,0.45,0.45,0.25,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","23","74","0","2001","A","","Chilton County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",117,650,17962753,7011577,101431,531,27621,"",1.54,1.55,1.80,1.58,1.07,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","23","74","0","2001","A","","Choctaw County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",26,275,7864797,3509161,78449,550,28625,"",0.76,1.21,0.89,1.31,0.93,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","23","74","0","2001","A","","Clarke County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",48,390,10473910,3757359,114304,517,26862,"",0.65,0.81,0.81,0.78,0.87,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","23","74","0","2001","A","","Clay County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",18,103,2400619,1047311,24796,447,23232,"",0.72,0.39,0.40,0.39,0.51,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","23","74","0","2001","A","","Cleburne County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",27,285,10263220,2953357,67813,693,36043,"",1.21,1.82,2.54,1.81,1.20,1.39,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","23","74","0","2001","A","","Coffee County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",85,451,8876466,4640315,47337,379,19696,"",0.90,0.66,0.55,0.63,0.31,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","23","74","0","2001","A","","Colbert County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",132,1362,40866931,14040307,518152,577,30014,"",0.97,1.24,1.23,1.31,1.52,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01035","5","23","74","0","2001","A","","Conecuh County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",11,67,1798483,757696,11592,518,26944,"",0.38,0.32,0.32,0.34,0.27,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01037","5","23","74","0","2001","A","","Coosa County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",14,46,1038748,418629,6533,437,22746,"",0.93,0.47,0.39,0.42,0.23,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","23","74","0","2001","A","","Covington County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",110,567,14688834,6006974,96476,498,25906,"",1.18,0.85,0.87,0.86,0.51,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01041","5","23","74","0","2001","A","","Crenshaw County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",28,109,1992663,1086737,14776,351,18239,"",1.00,0.68,0.52,0.69,0.42,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","23","74","0","2001","A","","Cullman County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",235,1531,38792023,15725058,239686,487,25345,"",1.43,1.14,1.06,1.01,0.84,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","23","74","0","2001","A","","Dale County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",89,632,16210854,6340284,106283,493,25650,"",1.01,0.69,0.55,0.76,0.77,0.80,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01047","5","23","74","0","2001","A","","Dallas County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",78,646,17513714,6676125,111508,522,27125,"",0.74,0.73,0.77,0.77,0.46,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","23","74","0","2001","A","","DeKalb County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",99,683,17342965,6867457,119025,488,25402,"",0.79,0.53,0.53,0.44,0.38,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","23","74","0","2001","A","","Elmore County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",176,871,19936907,8321022,96456,440,22883,"",1.66,1.21,1.07,1.20,0.58,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01053","5","23","74","0","2001","A","","Escambia County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",74,631,16753653,7627138,262509,510,26540,"",0.86,0.86,0.86,0.95,1.44,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01055","5","23","74","0","2001","A","","Etowah County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",187,1407,37271222,13646425,327070,509,26488,"",0.88,0.75,0.73,0.64,0.62,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01057","5","23","74","0","2001","A","","Fayette County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",34,200,5934056,2042668,82059,571,29670,"",0.89,0.70,0.81,0.70,0.85,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01059","5","23","74","0","2001","A","","Franklin County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",46,198,4101923,1914978,56120,398,20717,"",0.73,0.36,0.31,0.32,0.35,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01061","5","23","74","0","2001","A","","Geneva County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",55,223,4281630,2215258,31318,369,19179,"",1.12,0.80,0.71,0.72,0.62,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01063","5","23","74","0","2001","A","","Greene County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",11,59,1462758,769382,18257,477,24828,"",0.66,0.52,0.51,0.72,0.62,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01065","5","23","74","0","2001","A","","Hale County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",23,112,2078845,1271463,25475,358,18617,"",0.84,0.59,0.47,0.66,0.60,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01067","5","23","74","0","2001","A","","Henry County, Alabama","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",36,385,10954060,4563312,76872,548,28483,"",1.05,1.63,1.82,1.66,1.49,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
