"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","3","23","54","0","2016","A","N","Alabama -- Statewide","Local Government","NAICS 23 Construction","State, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",0.05,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","23","54","0","2016","A","","Alabama -- Statewide","Private","NAICS 23 Construction","State, NAICS Sector -- by ownership sector","All establishment sizes",9394,84105,4250189880,954450233,28749423,972,50534,"",0.96,0.93,0.96,0.91,0.98,1.03,1.03,"",263,2.9,2421,3.0,268588972,6.7,48227955,5.3,-3826481,-11.7,35,3.7,1790,3.7
"01001","5","23","74","0","2016","A","","Autauga County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",82,458,18501876,4904130,118174,778,40441,"",1.20,0.90,0.92,0.92,0.87,1.02,1.02,"",-1,-1.2,31,7.3,1427621,8.4,323027,7.1,-22416,-15.9,9,1.2,439,1.1
"01003","5","23","74","0","2016","A","","Baldwin County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",559,3634,167939872,40136370,740813,889,46212,"",1.20,1.10,1.35,0.98,0.73,1.23,1.23,"",27,5.1,334,10.1,21929038,15.0,3943886,10.9,-169978,-18.7,38,4.5,1960,4.4
"01005","5","23","74","0","2016","A","","Barbour County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",31,146,6770925,1488007,26302,892,46376,"",0.71,0.39,0.47,0.34,0.22,1.20,1.20,"",-5,-13.9,4,2.8,409572,6.4,162231,12.2,-10748,-29.0,29,3.4,1525,3.4
"01007","5","23","74","0","2016","A","","Bibb County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",31,740,45767205,8702589,235631,1189,61841,"",1.14,3.79,5.46,4.32,3.75,1.44,1.44,"",5,19.2,55,8.0,5744653,14.4,832545,10.6,-13851,-5.6,65,5.8,3393,5.8
"01009","5","23","74","0","2016","A","","Blount County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",83,456,17830038,4656555,89116,751,39072,"",1.38,1.19,1.26,1.15,1.02,1.06,1.06,"",1,1.2,60,15.2,3187464,21.8,712055,18.1,-11205,-11.2,41,5.8,2135,5.8
"01011","5","23","74","0","2016","A","N","Bullock County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",0.35,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","23","74","0","2016","A","","Butler County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",26,215,10746446,2289808,64211,959,49887,"",0.67,0.66,0.91,0.55,0.52,1.37,1.37,"",-2,-7.1,6,2.9,773196,7.8,52891,2.4,-11136,-14.8,41,4.5,2168,4.5
"01015","5","23","74","0","2016","A","","Calhoun County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",154,822,34452533,8017642,220164,806,41892,"",0.77,0.40,0.41,0.38,0.39,1.02,1.02,"",1,0.7,45,5.8,3955556,13.0,487709,6.5,-39095,-15.1,51,6.8,2617,6.7
"01017","5","23","74","0","2016","A","","Chambers County, Alabama","Private","NAICS 23 Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",55,205,7517005,2011560,26405,704,36594,"",1.15,0.54,0.51,0.48,0.28,0.94,0.94,"",3,5.8,1,0.5,309856,4.3,86019,4.5,-15013,-36.2,25,3.7,1265,3.6
