"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","44-45","54","0","2018","A","","Alabama -- Statewide","Federal Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",12,813,41719111,0,0,987,51299,"",1.42,1.33,2.53,0.00,0.00,1.89,1.89,"",0,0.0,-11,-1.3,-5227816,-11.1,0,0.0,0,0.0,-109,-9.9,-5698,-10.0
"01000","2","44-45","54","0","2018","A","N","Alabama -- Statewide","State Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",174,0,0,0,0,0,0,"N",31.18,0,0,0,0,0,0,"N",1,0.6,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","44-45","54","0","2018","A","N","Alabama -- Statewide","Local Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",0.47,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","44-45","54","0","2018","A","","Alabama -- Statewide","Private","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",18459,230987,6538627070,2074992529,20377323,544,28307,"",1.39,1.09,1.15,1.17,1.20,1.06,1.06,"",-8,0.0,-565,-0.2,159048609,2.5,38395881,1.9,-1464891,-6.7,14,2.6,756,2.7
"01001","2","44-45","74","0","2018","A","N","Autauga County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",52.36,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","44-45","74","0","2018","A","","Autauga County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",143,1666,43851345,14405035,125795,506,26315,"",1.57,1.40,1.70,1.66,1.61,1.21,1.21,"",-2,-1.4,-4,-0.2,459124,1.1,238330,1.7,-11691,-8.5,6,1.2,324,1.2
"01003","2","44-45","74","0","2018","A","","Baldwin County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",11,42,1233036,0,0,559,29070,"",39.79,10.65,15.81,0.00,0.00,1.47,1.47,"",0,0.0,1,2.4,73273,6.3,0,0.0,0,0.0,12,2.2,610,2.1
"01003","5","44-45","74","0","2018","A","","Baldwin County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1045,13549,382853922,128455704,1297202,543,28257,"",1.59,1.69,2.30,1.80,2.16,1.36,1.36,"",10,1.0,-132,-1.0,13378946,3.6,2353560,1.9,-75981,-5.5,24,4.6,1250,4.6
"01005","2","44-45","74","0","2018","A","N","Barbour County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",82.18,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","44-45","74","0","2018","A","","Barbour County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",91,845,20088585,7299989,65958,457,23778,"",1.57,0.96,1.06,0.99,0.92,1.10,1.10,"",1,1.1,-37,-4.2,-529741,-2.6,-254173,-3.4,-3390,-4.9,7,1.6,399,1.7
"01007","2","44-45","74","0","2018","A","N","Bibb County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",60.97,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","44-45","74","0","2018","A","","Bibb County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",53,499,13231593,4535022,39257,510,26543,"",1.36,1.10,1.28,1.38,1.04,1.17,1.17,"",0,0.0,-10,-2.0,296593,2.3,106157,2.4,133,0.3,22,4.5,1151,4.5
"01009","2","44-45","74","0","2018","A","N","Blount County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",29.24,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","44-45","74","0","2018","A","","Blount County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",128,1129,29479205,10113169,81277,502,26105,"",1.57,1.22,1.59,1.44,1.45,1.30,1.30,"",-3,-2.3,-13,-1.1,577108,2.0,58650,0.6,-8061,-9.0,15,3.1,791,3.1
"01011","2","44-45","74","0","2018","A","N","Bullock County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",139.90,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","44-45","74","0","2018","A","","Bullock County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",23,210,4289279,1597644,13483,392,20385,"",1.35,0.65,0.67,0.62,0.39,1.03,1.03,"",1,4.5,-1,-0.5,198489,4.9,28878,1.8,-3348,-19.9,18,4.8,959,4.9
"01013","2","44-45","74","0","2018","A","N","Butler County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",47.41,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","44-45","74","0","2018","A","","Butler County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",91,850,21356764,7368692,73561,483,25131,"",1.81,1.17,1.49,1.18,1.12,1.28,1.28,"",-8,-8.1,-38,-4.3,324195,1.5,-306010,-4.0,-11542,-13.6,28,6.2,1446,6.1
"01015","1","44-45","74","0","2018","A","","Calhoun County, Alabama","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,622764,0,0,1343,69843,"",5.90,0.65,1.99,0.00,0.00,3.08,3.08,"",0,0.0,0,0.0,-75041,-10.8,0,0.0,0,0.0,-148,-9.9,-7691,-9.9
"01015","2","44-45","74","0","2018","A","N","Calhoun County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",35.83,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","44-45","74","0","2018","A","","Calhoun County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",447,5934,158355950,52780723,535042,513,26686,"",1.68,1.24,1.47,1.49,1.70,1.19,1.19,"",-1,-0.2,31,0.5,5369126,3.5,1761762,3.5,-40658,-7.1,15,3.0,768,3.0
"01017","2","44-45","74","0","2018","A","N","Chambers County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",37.82,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","44-45","74","0","2018","A","","Chambers County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",111,1044,25502552,8878781,89699,470,24428,"",1.76,1.16,1.31,1.32,1.75,1.14,1.14,"",6,5.7,4,0.4,350834,1.4,46004,0.5,-340,-0.4,5,1.1,253,1.0
"01019","2","44-45","74","0","2018","A","N","Cherokee County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",54.69,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","44-45","74","0","2018","A","","Cherokee County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",82,858,23714459,8257667,72701,532,27650,"",1.88,1.51,2.14,1.79,1.42,1.42,1.42,"",5,6.5,14,1.7,1102843,4.9,501588,6.5,-6792,-8.5,17,3.3,846,3.2
"01021","2","44-45","74","0","2018","A","N","Chilton County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",28.43,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","44-45","74","0","2018","A","","Chilton County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",153,1411,39945655,12762378,118284,544,28314,"",1.83,1.37,1.82,1.52,1.76,1.32,1.33,"",9,6.2,12,0.9,2505216,6.7,426068,3.5,-3869,-3.2,29,5.6,1549,5.8
"01023","2","44-45","74","0","2018","A","N","Choctaw County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",73.33,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","44-45","74","0","2018","A","","Choctaw County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",48,428,8703690,3347662,33742,391,20344,"",1.48,1.05,0.75,0.84,0.60,0.71,0.71,"",3,6.7,6,1.4,290387,3.5,28775,0.9,-5914,-14.9,7,1.8,388,1.9
"01025","2","44-45","74","0","2018","A","N","Clarke County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",34.92,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","44-45","74","0","2018","A","","Clarke County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",132,1300,32843474,11612790,146492,486,25258,"",1.94,1.50,1.67,1.71,2.55,1.11,1.11,"",5,3.9,-44,-3.3,-90292,-0.3,-23005,-0.2,-10113,-6.5,15,3.2,749,3.1
"01027","2","44-45","74","0","2018","A","N","Clay County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",105.57,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","44-45","74","0","2018","A","","Clay County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",37,273,4924819,2061909,18656,347,18067,"",1.64,0.59,0.55,0.53,0.72,0.93,0.93,"",2,5.7,9,3.4,175866,3.7,97577,5.0,-361,-1.9,0,0.0,44,0.2
"01029","2","44-45","74","0","2018","A","N","Cleburne County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",102.72,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","44-45","74","0","2018","A","","Cleburne County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",43,318,12547032,3461717,38579,758,39435,"",1.86,1.39,2.19,1.95,1.78,1.58,1.58,"",1,2.4,0,0.0,3329682,36.1,658681,23.5,6383,19.8,201,36.1,10450,36.1
"01031","2","44-45","74","0","2018","A","N","Coffee County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",21.21,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","44-45","74","0","2018","A","","Coffee County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",185,2415,70003366,21694512,213122,557,28989,"",1.65,1.41,2.08,1.49,1.72,1.48,1.48,"",-2,-1.1,1,0.0,684010,1.0,205829,1.0,-23896,-10.1,5,0.9,275,1.0
"01033","2","44-45","74","0","2018","A","N","Colbert County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",34.87,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","44-45","74","0","2018","A","","Colbert County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",232,2929,88615446,27401024,313553,582,30256,"",1.70,1.14,1.37,1.28,1.31,1.21,1.21,"",6,2.7,63,2.2,2237831,2.6,912092,3.4,-32615,-9.4,2,0.3,118,0.4
"01035","2","44-45","74","0","2018","A","N","Conecuh County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",89.08,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01035","5","44-45","74","0","2018","A","","Conecuh County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",38,279,5822616,2401258,24092,401,20845,"",1.42,0.74,0.77,0.79,0.73,1.03,1.03,"",0,0.0,3,1.1,206865,3.7,116926,5.1,-127,-0.5,10,2.6,529,2.6
"01037","5","44-45","74","0","2018","A","","Coosa County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",20,101,2019064,878160,6582,383,19909,"",1.58,0.66,0.64,0.75,0.52,0.95,0.95,"",1,5.3,-10,-9.0,62139,3.2,21158,2.5,-2854,-30.2,44,13.0,2266,12.8
"01039","2","44-45","74","0","2018","A","N","Covington County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",25.51,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","44-45","74","0","2018","A","","Covington County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",176,1799,49363939,16395572,179648,528,27436,"",1.89,1.35,1.80,1.48,1.11,1.34,1.34,"",-5,-2.8,-48,-2.6,1863399,3.9,285252,1.8,4722,2.7,34,6.9,1724,6.7
"01041","5","44-45","74","0","2018","A","","Crenshaw County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",31,254,5196009,1837987,23062,393,20437,"",1.15,0.64,0.63,0.53,0.49,0.98,0.98,"",-1,-3.1,-4,-1.6,-144745,-2.7,-46991,-2.5,2561,12.5,-5,-1.3,-257,-1.2
"01043","2","44-45","74","0","2018","A","N","Cullman County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",12.35,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","44-45","74","0","2018","A","","Cullman County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",347,3896,112910505,34402451,329221,557,28983,"",1.80,1.25,1.66,1.30,1.64,1.33,1.33,"",3,0.9,-8,-0.2,5889682,5.5,779247,2.3,-1239,-0.4,30,5.7,1570,5.7
"01045","1","44-45","74","0","2018","A","","Dale County, Alabama","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,246,12553831,0,0,980,50946,"",34.63,46.65,77.46,0.00,0.00,1.66,1.66,"",0,0.0,3,1.2,-1334703,-9.6,0,0.0,0,0.0,-117,-10.7,-6111,-10.7
