inst_id,year,ncses_inst_id,toi_code,ffrdctype,inst_name_long,inst_city,inst_state_code,inst_zip,questionnaire_no,question,row,column,data,status,othinfo,standardized_agency_names
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01.a,Source,Federal government,,993733,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01.b,Source,State and local government,,3043,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01.c,Source,Business,,6820,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01.d,Source,Nonprofit organizations,,6320,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01.e,Source,All other sources,,2220,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,01.f,Source,Total,,1012136,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,02.a,Federal agency,Department of Defense,,133960,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,02.b,Federal agency,Department of Energy,,744015,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,02.c,Federal agency,Department of Health and Human Services,,18924,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,02.d,Federal agency,Department of Homeland Security,,68145,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,02.f,Federal agency,National Aeronautics and Space Administration,,1718,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,02.g,Federal agency,National Science Foundation,,830,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,02.h,Federal agency,Other federal agencies,,26141,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,02.i,Federal agency,Total,,993733,,,
